epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,877.381,0.96645,1.51008,1.25041,0.19272,0.89002,0.26825,0.19441,0.85944,1.58936,1.20837,0.000660045,0.000660045,0.000660045
43,891.225,0.95145,1.47754,1.23523,0.24202,0.91036,0.29255,0.20597,0.91288,1.50798,1.24481,0.000649046,0.000649046,0.000649046
44,905.064,0.99921,1.46507,1.25017,0.23805,0.96245,0.33922,0.23641,0.93767,1.56817,1.26265,0.000638047,0.000638047,0.000638047
45,918.753,0.96145,1.49125,1.25161,0.23076,0.95195,0.3184,0.22333,0.92179,1.51075,1.23138,0.000627048,0.000627048,0.000627048
46,932.536,0.91235,1.46974,1.21536,0.23476,0.95007,0.29043,0.21216,0.87102,1.52425,1.20166,0.000616049,0.000616049,0.000616049
47,946.45,0.92546,1.44279,1.20985,0.2363,0.96843,0.29993,0.22338,0.91618,1.56791,1.23569,0.000605051,0.000605051,0.000605051
48,960.298,0.93561,1.44677,1.23478,0.22214,0.91047,0.32042,0.23116,0.89073,1.56205,1.22262,0.000594052,0.000594052,0.000594052
49,974.196,0.95034,1.4562,1.21389,0.2428,0.94937,0.30693,0.22259,0.86855,1.45983,1.2122,0.000583053,0.000583053,0.000583053
50,988.072,0.94887,1.46576,1.23637,0.2267,0.94152,0.29847,0.22173,0.88338,1.5899,1.21791,0.000572054,0.000572054,0.000572054
51,1001.97,0.87237,1.44877,1.20053,0.24124,0.93217,0.34551,0.258,0.87778,1.5002,1.2066,0.000561055,0.000561055,0.000561055
52,1015.91,0.9402,1.44761,1.23741,0.23785,0.88787,0.31053,0.22067,0.88744,1.58018,1.23001,0.000550056,0.000550056,0.000550056
53,1029.79,0.89825,1.45411,1.21704,0.23993,0.89445,0.31861,0.22819,0.83956,1.48535,1.18935,0.000539057,0.000539057,0.000539057
54,1043.56,0.91951,1.432,1.20407,0.23835,0.97483,0.32873,0.23098,0.91184,1.55046,1.22612,0.000528058,0.000528058,0.000528058
55,1057.4,0.90883,1.41595,1.21428,0.23503,0.86585,0.32406,0.24137,0.86895,1.51535,1.19825,0.000517059,0.000517059,0.000517059
56,1071.25,0.87809,1.41475,1.17225,0.24506,0.877,0.33527,0.24166,0.89399,1.48895,1.2309,0.00050606,0.00050606,0.00050606
57,1085.08,0.89868,1.42603,1.21692,0.23657,0.86809,0.30744,0.22476,0.86169,1.51806,1.20534,0.000495062,0.000495062,0.000495062
58,1098.88,0.89067,1.42939,1.2055,0.24058,0.90532,0.33056,0.2382,0.88578,1.49252,1.21739,0.000484063,0.000484063,0.000484063
59,1112.5,0.89691,1.41445,1.19801,0.23072,0.95423,0.29326,0.21058,0.89062,1.53087,1.21324,0.000473064,0.000473064,0.000473064
