epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6555,1.36795,4.82918,1.56967,0.19324,0.22099,0.09956,0.03101,2.37555,41.4948,3.36482,0.000655367,0.000655367,0.000655367
2,22.6075,1.50695,1.54985,1.70045,0.00164,0.37017,0.00113,0.00049,2.85997,inf,5.0249,0.0013168,0.0013168,0.0013168
3,31.9504,1.5202,1.65485,1.59921,0.37123,0.53039,0.4797,0.24205,1.60043,15.4186,2.06422,0.00197295,0.00197295,0.00197295
4,41.3281,1.48214,1.6916,1.56547,0.23513,0.37017,0.20534,0.08928,2.11572,16.8493,2.41924,0.00197624,0.00197624,0.00197624
5,51.0049,1.48674,1.57778,1.52681,0.717,0.69061,0.74068,0.42838,1.48802,3.08956,2.0147,0.00196832,0.00196832,0.00196832
6,60.8726,1.53299,1.45364,1.63309,0.62393,0.44,0.52018,0.29105,1.61451,1.85622,1.94101,0.0019604,0.0019604,0.0019604
7,70.4475,1.44724,1.30275,1.54498,0.76681,0.65746,0.74877,0.41525,1.48128,1.31339,1.76297,0.00195248,0.00195248,0.00195248
8,79.6728,1.31767,1.22662,1.51598,0.77544,0.74033,0.82453,0.48362,1.3453,1.1404,1.67688,0.00194456,0.00194456,0.00194456
9,88.9444,1.31724,1.16371,1.48391,0.78934,0.73481,0.78335,0.4874,1.31181,1.14009,1.63382,0.00193664,0.00193664,0.00193664
10,98.2089,1.224,1.11328,1.4498,0.88836,0.69061,0.82126,0.51949,1.37894,1.0937,1.64712,0.00192872,0.00192872,0.00192872
11,107.502,1.30593,1.23292,1.5546,0.84579,0.75138,0.8567,0.54612,1.24563,0.96852,1.59736,0.0019208,0.0019208,0.0019208
12,116.749,1.30429,1.08118,1.5412,0.83435,0.75136,0.81774,0.5176,1.30708,1.02285,1.62939,0.00191288,0.00191288,0.00191288
13,126.188,1.34547,1.1475,1.56968,0.88955,0.75641,0.87355,0.56679,1.25232,0.97872,1.63393,0.00190496,0.00190496,0.00190496
14,135.366,1.18182,1.09908,1.41918,0.82955,0.80664,0.87982,0.5576,1.24631,0.98853,1.56295,0.00189704,0.00189704,0.00189704
15,144.412,1.24717,1.06593,1.51805,0.85783,0.79006,0.89131,0.56368,1.19172,0.9225,1.56638,0.00188912,0.00188912,0.00188912
16,153.508,1.2779,1.02727,1.49521,0.80481,0.78453,0.82826,0.53509,1.25091,1.36549,1.61104,0.0018812,0.0018812,0.0018812
17,162.887,1.23917,0.94801,1.45779,0.89958,0.8011,0.89462,0.58565,1.20003,0.92827,1.52582,0.00187328,0.00187328,0.00187328
18,172.149,1.20507,1.03713,1.47557,0.84504,0.85635,0.87645,0.52688,1.35796,0.87704,1.68403,0.00186536,0.00186536,0.00186536
19,181.61,1.32927,1.04778,1.47762,0.84474,0.81162,0.87729,0.58671,1.14497,0.86369,1.54408,0.00185744,0.00185744,0.00185744
20,190.732,1.27735,0.99465,1.51224,0.84935,0.85635,0.89298,0.55686,1.25805,0.93906,1.55733,0.00184952,0.00184952,0.00184952
21,200.217,1.21075,0.9219,1.42207,0.89452,0.84336,0.91421,0.59394,1.21063,0.82682,1.54612,0.0018416,0.0018416,0.0018416
22,209.624,1.23044,1.14533,1.42189,0.83002,0.78237,0.86737,0.56736,1.19023,0.86686,1.53898,0.00183368,0.00183368,0.00183368
23,218.736,1.14196,0.94153,1.37825,0.81867,0.84809,0.88719,0.58324,1.21409,0.84055,1.56564,0.00182576,0.00182576,0.00182576
24,228.057,1.25507,1.00014,1.46022,0.8699,0.84966,0.901,0.60984,1.12018,0.76977,1.47556,0.00181784,0.00181784,0.00181784
25,237.492,1.13107,0.81929,1.35868,0.85953,0.81215,0.891,0.57811,1.17493,0.85785,1.52155,0.00180992,0.00180992,0.00180992
26,246.626,1.14394,0.89772,1.3711,0.8917,0.83978,0.90518,0.56931,1.33369,0.89179,1.64764,0.001802,0.001802,0.001802
27,255.793,1.24986,1.00481,1.44566,0.84597,0.78892,0.87477,0.55982,1.20167,0.91493,1.52924,0.00179408,0.00179408,0.00179408
28,264.743,1.15169,0.86789,1.36877,0.87611,0.83978,0.87691,0.57015,1.23474,0.82234,1.56046,0.00178616,0.00178616,0.00178616
29,273.664,1.09215,0.86658,1.37494,0.90385,0.83978,0.92413,0.60032,1.19507,0.7491,1.49458,0.00177824,0.00177824,0.00177824
30,282.998,1.12243,0.85757,1.37628,0.87066,0.80663,0.87952,0.57974,1.21681,0.84067,1.52911,0.00177032,0.00177032,0.00177032
31,291.907,1.18332,0.88679,1.39466,0.90705,0.85083,0.92473,0.62308,1.11342,0.72366,1.48092,0.0017624,0.0017624,0.0017624
32,300.987,1.15327,0.93568,1.40982,0.88747,0.87148,0.915,0.6182,1.14127,0.70769,1.50249,0.00175448,0.00175448,0.00175448
33,310.184,1.06693,0.83058,1.31177,0.89766,0.87845,0.92357,0.6281,1.08774,0.71809,1.47464,0.00174656,0.00174656,0.00174656
34,319.217,1.16843,0.94864,1.42526,0.89371,0.83615,0.90514,0.58756,1.17406,0.78228,1.50297,0.00173864,0.00173864,0.00173864
35,328.453,1.16754,0.92021,1.40323,0.84582,0.8674,0.89771,0.59891,1.14593,0.85437,1.49853,0.00173072,0.00173072,0.00173072
36,337.548,1.11458,0.89386,1.38796,0.91183,0.85705,0.91746,0.61865,1.14884,0.7136,1.48744,0.0017228,0.0017228,0.0017228
37,346.473,1.0738,0.90828,1.30981,0.88191,0.8674,0.91688,0.6141,1.10329,0.75325,1.49676,0.00171488,0.00171488,0.00171488
38,355.563,1.09911,0.85538,1.29217,0.89652,0.86154,0.92048,0.61711,1.13244,0.71163,1.48501,0.00170696,0.00170696,0.00170696
39,364.238,1.25107,0.88418,1.43957,0.86257,0.8674,0.90636,0.61174,1.09094,0.76388,1.47519,0.00169904,0.00169904,0.00169904
40,373.523,1.07493,0.826,1.29264,0.87862,0.88398,0.93197,0.62418,1.17425,0.733,1.50306,0.00169112,0.00169112,0.00169112
41,382.728,1.01052,0.68682,1.3234,0.86717,0.86568,0.91734,0.6138,1.10644,0.79933,1.48346,0.0016832,0.0016832,0.0016832
42,392.069,1.06375,0.84793,1.32893,0.8926,0.90055,0.91424,0.60641,1.2041,0.76881,1.50383,0.00167528,0.00167528,0.00167528
43,401.079,1.07865,0.74531,1.41218,0.8854,0.87293,0.91196,0.61004,1.19223,0.7552,1.53268,0.00166736,0.00166736,0.00166736
44,410.089,1.08386,0.77463,1.31225,0.89484,0.85635,0.91033,0.62284,1.12174,0.71543,1.47412,0.00165944,0.00165944,0.00165944
45,419.047,1.13441,0.94271,1.37945,0.88916,0.83425,0.89804,0.60897,1.13389,0.72487,1.49512,0.00165152,0.00165152,0.00165152
46,428.232,1.08853,0.93351,1.36998,0.87947,0.87293,0.89346,0.60007,1.14442,0.76476,1.50009,0.0016436,0.0016436,0.0016436
47,437.474,1.13546,0.79204,1.37351,0.86934,0.87845,0.92231,0.63474,1.12413,0.68729,1.46084,0.00163568,0.00163568,0.00163568
48,446.622,1.09639,0.72946,1.37194,0.89342,0.87992,0.93971,0.62643,1.09246,0.70268,1.45776,0.00162776,0.00162776,0.00162776
49,455.645,1.09905,0.79515,1.35032,0.88407,0.86188,0.91886,0.62484,1.10818,0.71624,1.4902,0.00161984,0.00161984,0.00161984
50,464.967,1.00686,0.73064,1.29809,0.87778,0.87293,0.92017,0.6296,1.10707,0.72789,1.47651,0.00161192,0.00161192,0.00161192
51,474.001,1.14849,0.87221,1.41967,0.87624,0.82873,0.91222,0.61673,1.12208,0.74786,1.45525,0.001604,0.001604,0.001604
52,483.086,1.09339,0.75101,1.35458,0.87747,0.87044,0.92967,0.64488,1.04779,0.69445,1.44596,0.00159608,0.00159608,0.00159608
53,492.215,1.1034,0.82461,1.33579,0.88812,0.87845,0.92949,0.64247,1.05727,0.70912,1.43277,0.00158816,0.00158816,0.00158816
54,501.63,1.21341,0.90412,1.44878,0.8832,0.87845,0.93078,0.62686,1.13149,0.71824,1.48477,0.00158024,0.00158024,0.00158024
55,510.609,0.99533,0.75714,1.3517,0.87092,0.87845,0.92136,0.62876,1.12285,0.73447,1.47266,0.00157232,0.00157232,0.00157232
56,519.653,1.00834,0.77196,1.23139,0.87444,0.88499,0.91684,0.62658,1.05522,0.71023,1.44394,0.0015644,0.0015644,0.0015644
57,528.952,1.04369,0.70782,1.31704,0.89506,0.84825,0.92287,0.6293,1.06466,0.69259,1.42994,0.00155648,0.00155648,0.00155648
58,538.167,1.00887,0.72613,1.33843,0.89491,0.86188,0.9327,0.64366,1.08208,0.67684,1.43925,0.00154856,0.00154856,0.00154856
59,547.364,1.12994,0.74893,1.40442,0.89204,0.87845,0.93935,0.62747,1.12308,0.69469,1.47876,0.00154064,0.00154064,0.00154064
60,556.507,1.08315,0.85948,1.31143,0.8624,0.87845,0.9273,0.64062,1.06066,0.6948,1.43388,0.00153272,0.00153272,0.00153272
61,565.475,1.04285,0.78736,1.35603,0.89576,0.85461,0.91551,0.62978,1.09026,0.6897,1.47897,0.0015248,0.0015248,0.0015248
62,574.92,1.13825,0.79392,1.36122,0.84133,0.87882,0.92202,0.63024,1.12119,0.72941,1.47732,0.00151688,0.00151688,0.00151688
63,584.237,1.06701,0.71992,1.38532,0.90712,0.86332,0.93199,0.63774,1.07053,0.70072,1.46715,0.00150896,0.00150896,0.00150896
64,593.841,1.07589,0.82963,1.32163,0.87054,0.8895,0.92906,0.64013,1.04225,0.67833,1.42544,0.00150104,0.00150104,0.00150104
